prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,12088293375,22280680875,10192.39,dwdopo4h,dwdopo4,NO,0,7,8,186.97,206.00,186.97,206.45
0,2,22281192416,31723234750,9442.04,dwdopo4h,dwdopo4h,YES,0,8,9,206.96,206.96,186.31,208.01
1,1,31725278291,42120196041,10394.92,e8gauxkv,e8gauxkv,YES,0,8,9,204.99,204.99,189.60,206.15
2,1,42120568000,53268632791,11148.06,329jp1lh,329jp1lh,YES,0,8,9,187.15,205.96,187.15,206.50
3,1,53270477208,67958675500,14688.20,1dc5wtp8,1dc5wtp8,YES,0,8,9,187.75,205.96,187.75,206.75
4,1,67959015333,80380646000,12421.63,t7ji8795,t7ji8795,YES,0,8,9,205.29,205.83,205.29,206.25
5,1,80381018708,92138496208,11757.48,r5kj0x3h,r5kj0x3h,YES,0,8,9,207.36,204.97,185.07,207.36
6,1,92138886583,104988701541,12849.81,ge22u775,ge22u775,YES,0,8,9,186.11,206.95,186.11,208.21
7,1,104989797666,115980256916,10990.46,itqh68gk,itqh68gk,YES,0,8,9,207.26,207.17,186.55,207.26
8,1,115980636791,128257461416,12276.82,w5urougo,w5urougo,YES,0,8,9,207.77,206.96,185.98,207.77
9,1,128257885583,140469261375,12211.38,b4l9kjqv,b4l9kjqv,YES,0,8,9,205.91,205.91,184.81,206.51
