timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
82206250,0.00152588,0.00369263,-1.00540161,0.427246,0.061035,-0.061035
91695041,0.00071716,0.00349426,-1.00541687,0.427246,0.122070,0.000000
92207333,0.00006104,0.00338745,-1.00544739,0.427246,0.061035,-0.122070
97625166,-0.00041199,0.00337219,-1.00558472,0.305176,-0.061035,-0.244141
102219166,-0.00038147,0.00335693,-1.00582886,0.488281,0.122070,-0.122070
108603166,0.00000000,0.00309753,-1.00614929,0.427246,0.122070,-0.122070
113502458,-0.00012207,0.00265503,-1.00616455,0.427246,0.000000,0.000000
117555916,-0.00070190,0.00231934,-1.00569153,0.366211,-0.122070,-0.122070
122535666,-0.00102234,0.00251770,-1.00509644,0.427246,0.244141,-0.061035
127879916,-0.00065613,0.00300598,-1.00482178,0.366211,0.061035,0.000000
134768250,0.00050354,0.00325012,-1.00480652,0.427246,0.000000,-0.122070
144803208,0.00189209,0.00350952,-1.00476074,0.122070,0.122070,0.000000
145003000,0.00260925,0.00373840,-1.00488281,0.244141,0.061035,-0.122070
153468916,0.00285339,0.00363159,-1.00541687,0.244141,0.061035,-0.061035
155851875,0.00331116,0.00343323,-1.00575256,0.183105,-0.061035,-0.122070
203043833,0.00396729,0.00335693,-1.00561523,0.366211,-0.061035,0.000000
205782041,0.00419617,0.00343323,-1.00558472,0.366211,0.122070,-0.061035
205786958,0.00378418,0.00350952,-1.00595093,0.427246,0.122070,-0.122070
205790166,0.00331116,0.00328064,-1.00613403,0.244141,0.000000,-0.183105
205793041,0.00360107,0.00291443,-1.00582886,0.366211,0.061035,-0.061035
205795833,0.00416565,0.00280762,-1.00555420,0.244141,0.061035,-0.061035
205799708,0.00355530,0.00273132,-1.00575256,0.305176,0.000000,-0.061035
205801916,0.00209045,0.00245667,-1.00572205,0.366211,0.122070,0.000000
205803958,0.00088501,0.00228882,-1.00508118,0.366211,0.061035,0.000000
205805875,0.00022888,0.00234985,-1.00453186,0.305176,0.061035,-0.122070
207234958,-0.00019836,0.00244141,-1.00480652,0.305176,0.061035,-0.061035
212296250,-0.00054932,0.00250244,-1.00556946,0.427246,0.000000,0.000000
217224083,-0.00070190,0.00276184,-1.00556946,0.366211,0.000000,0.000000
222349041,-0.00042725,0.00332642,-1.00508118,0.488281,0.000000,-0.061035
227541250,-0.00013733,0.00427246,-1.00506592,0.427246,0.061035,-0.122070
233501583,-0.00033569,0.00531006,-1.00540161,0.305176,0.122070,-0.061035
237955958,-0.00077820,0.00601196,-1.00569153,0.366211,0.061035,-0.122070
242614958,-0.00076294,0.00621033,-1.00569153,0.366211,0.061035,0.000000
247225041,-0.00001526,0.00610352,-1.00547791,0.305176,0.061035,0.000000
252234291,0.00090027,0.00608826,-1.00535583,0.244141,0.061035,-0.122070
257232583,0.00170898,0.00587463,-1.00520325,0.305176,-0.122070,-0.122070
262224125,0.00256348,0.00503540,-1.00503540,0.366211,-0.061035,-0.122070
267230875,0.00341797,0.00379944,-1.00549316,0.305176,0.061035,-0.122070
272223791,0.00405884,0.00265503,-1.00634766,0.427246,0.000000,-0.061035
277273416,0.00431824,0.00170898,-1.00656128,0.427246,0.122070,-0.122070
282234833,0.00415039,0.00096130,-1.00613403,0.183105,0.000000,-0.122070
287227791,0.00369263,0.00032043,-1.00576782,0.244141,0.183105,-0.061035
292274291,0.00320435,-0.00033569,-1.00556946,0.427246,0.061035,-0.183105
297266250,0.00289917,-0.00056458,-1.00561523,0.183105,0.122070,-0.061035
302242833,0.00268555,0.00027466,-1.00598145,0.427246,0.000000,-0.122070
307311625,0.00222778,0.00173950,-1.00608826,0.366211,0.122070,-0.061035
312272583,0.00146484,0.00254822,-1.00569153,0.183105,0.000000,-0.122070
317271833,0.00048828,0.00248718,-1.00527954,0.366211,0.000000,-0.244141
322270916,-0.00030518,0.00262451,-1.00526428,0.305176,0.122070,-0.122070
327270041,-0.00047302,0.00384521,-1.00593567,0.366211,0.061035,-0.061035
332264083,-0.00047302,0.00581360,-1.00656128,0.305176,0.061035,-0.061035
337287333,-0.00064087,0.00743103,-1.00630188,0.244141,0.000000,-0.061035
342266208,-0.00056458,0.00827026,-1.00585938,0.366211,0.061035,-0.061035
347263250,-0.00016785,0.00860596,-1.00592041,0.305176,0.061035,-0.061035
352269625,0.00024414,0.00845337,-1.00570679,0.366211,0.061035,-0.122070
357262166,0.00048828,0.00752258,-1.00506592,0.427246,0.122070,0.000000
362269333,0.00064087,0.00588989,-1.00463867,0.305176,0.122070,-0.122070
367269791,0.00102234,0.00437927,-1.00471497,0.427246,0.061035,0.000000
372281833,0.00161743,0.00349426,-1.00549316,0.183105,0.122070,0.000000
377272125,0.00205994,0.00302124,-1.00628662,0.549316,0.061035,-0.061035
382283000,0.00231934,0.00244141,-1.00614929,0.488281,0.122070,-0.122070
387282875,0.00271606,0.00140381,-1.00549316,0.427246,0.000000,0.000000
392272791,0.00315857,0.00045776,-1.00468445,0.610352,0.061035,0.000000
397276583,0.00323486,0.00030518,-1.00382996,0.427246,0.000000,-0.122070
402263208,0.00323486,0.00048828,-1.00381470,0.366211,0.061035,0.000000
407273916,0.00369263,0.00082397,-1.00421143,0.488281,-0.061035,-0.122070
412355875,0.00431824,0.00178528,-1.00444031,0.183105,0.061035,-0.061035
417320916,0.00407410,0.00299072,-1.00486755,0.366211,0.183105,-0.183105
422313708,0.00250244,0.00360107,-1.00535583,0.427246,0.183105,-0.061035
427283041,0.00056458,0.00379944,-1.00575256,0.305176,0.061035,-0.122070
432286833,-0.00062561,0.00421143,-1.00630188,0.305176,0.183105,-0.061035
437283333,-0.00135803,0.00488281,-1.00631714,0.366211,0.122070,0.000000
442271791,-0.00218201,0.00556946,-1.00543213,0.549316,0.061035,0.061035
447277541,-0.00265503,0.00611877,-1.00465393,0.244141,0.122070,-0.061035
452264791,-0.00213623,0.00619507,-1.00448608,0.244141,0.122070,-0.061035
457261416,-0.00097656,0.00541687,-1.00463867,0.305176,0.122070,-0.061035
462267541,-0.00001526,0.00415039,-1.00514221,0.366211,0.061035,-0.244141
467341708,0.00048828,0.00317383,-1.00628662,0.305176,0.061035,-0.061035
472325208,0.00100708,0.00262451,-1.00686646,0.244141,-0.122070,-0.183105
477332291,0.00189209,0.00189209,-1.00598145,0.244141,-0.061035,-0.183105
482297750,0.00302124,0.00071716,-1.00529480,0.183105,0.000000,-0.122070
487310875,0.00395203,-0.00035095,-1.00497437,0.366211,0.061035,-0.061035
492294333,0.00439453,-0.00096130,-1.00469971,0.305176,0.061035,0.000000
497290000,0.00415039,-0.00126648,-1.00559998,0.183105,0.000000,-0.183105
502285041,0.00344849,-0.00163269,-1.00671387,0.366211,0.061035,-0.061035
