prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,11187329708,23809292000,12621.96,ohlqj16h,ohlqj16h,YES,0,8,9,207.95,205.98,187.06,207.95
1,1,23809856500,37380685833,13570.83,ey5vu627,ey5vu627,YES,0,8,9,206.44,206.22,186.54,206.44
2,1,37381048583,49369331041,11988.28,lz1yyfoz,lz1yyfoz,YES,0,8,9,204.98,204.98,186.06,205.95
3,1,49369762416,62293831041,12924.07,j789827t,j789827t,YES,0,8,9,187.06,206.05,187.06,206.13
4,1,62295270416,70371318500,8076.05,0gwrxc6a,0gwra,NO,0,5,6,206.97,206.97,187.06,207.91
4,2,70371731916,84396604375,14024.87,0gwrxc6a,0gwrxc6a,YES,0,8,9,207.32,207.32,186.81,208.51
5,1,84397100458,96054547708,11657.45,ac3zlndz,ac3zlndz,YES,0,8,9,207.36,207.36,187.50,207.63
6,1,96054924416,107276471083,11221.55,dedty82n,dedty82n,YES,0,8,9,207.76,206.79,187.06,207.76
7,1,107276901166,119825353458,12548.45,rhmmeah7,rhmmeah7,YES,0,8,9,188.85,206.96,188.85,207.94
8,1,119825754958,132518881875,12693.13,0astu89t,0astu89t,YES,0,8,9,187.06,206.71,187.06,206.96
9,1,132519229041,144674341875,12155.11,mc8pzpc5,mc8pzpc5,YES,0,8,9,185.50,206.96,185.50,207.39
