prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,13500249750,24685997791,11185.75,idcon1in,idcon1in,YES,0,8,9,207.95,206.96,185.58,207.95
1,1,24686548500,36293240541,11606.69,c72rcbha,c72rcbha,YES,0,8,9,205.96,196.32,186.68,205.96
2,1,36293586083,48393634500,12100.05,8r5v47og,8r5v47og,YES,0,8,9,185.87,206.96,185.87,208.22
3,1,48394032375,61003300708,12609.27,sra03y74,sra03y74,YES,0,8,9,208.79,205.96,187.06,208.79
4,1,61003607875,72253814791,11250.21,s2dfu0j4,s2dfu0j4,YES,0,8,9,210.80,205.79,186.09,210.80
5,1,72254205166,83563012625,11308.81,gxyqsi8e,gxyqsi8e,YES,0,8,9,206.07,206.07,185.46,206.96
6,1,83563422708,95610600416,12047.18,04mhs3t3,04mhs3t3,YES,0,8,9,188.88,207.95,188.88,208.74
7,1,95611568083,108607887583,12996.32,d502yzsx,d502yzsx,YES,0,8,9,187.06,207.18,187.06,207.95
8,1,108608292458,120152694333,11544.40,fm4obea4,fm4obea4,YES,0,8,9,207.87,205.17,186.15,207.87
9,1,120153654125,131996824541,11843.17,4kd9l9h8,4kd9l9h8,YES,0,8,9,206.96,206.96,186.92,207.91
