timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
62510125,0.00262451,0.00013733,-1.00254822,0.549316,0.000000,-0.061035
69160583,0.00347900,-0.00018311,-1.00430298,0.244141,0.000000,-0.122070
72781125,0.00411987,-0.00048828,-1.00593567,0.244141,0.000000,-0.061035
77183291,0.00480652,-0.00021362,-1.00534058,0.549316,0.122070,-0.122070
82168333,0.00546265,0.00038147,-1.00502014,0.122070,0.122070,-0.122070
87615416,0.00563049,0.00085449,-1.00384521,0.305176,0.000000,-0.122070
93023583,0.00537109,0.00117493,-1.00442505,0.366211,0.122070,-0.061035
97382041,0.00512695,0.00160217,-1.00765991,0.427246,0.000000,-0.183105
103203750,0.00447083,0.00244141,-1.00759888,0.244141,0.061035,0.000000
107281041,0.00314331,0.00367737,-1.00453186,0.244141,0.122070,0.061035
117407916,0.00177002,0.00495911,-1.00471497,0.244141,0.061035,-0.061035
117420750,0.00071716,0.00587463,-1.00704956,0.305176,0.061035,0.000000
124414583,-0.00006104,0.00611877,-1.00750732,0.366211,0.000000,-0.061035
128352958,-0.00059509,0.00595093,-1.00669861,0.183105,0.061035,-0.061035
132433500,-0.00108337,0.00581360,-1.00558472,0.122070,0.061035,0.061035
137503583,-0.00143433,0.00569153,-1.00552368,0.366211,0.061035,-0.122070
143003583,-0.00141907,0.00518799,-1.00715637,0.305176,-0.061035,-0.061035
147504625,-0.00085449,0.00425720,-1.00720215,0.366211,0.122070,0.000000
152267458,0.00033569,0.00323486,-1.00517273,0.366211,0.122070,-0.061035
159448541,0.00183105,0.00242615,-1.00482178,0.244141,0.061035,0.122070
162220583,0.00297546,0.00164795,-1.00637817,0.366211,0.061035,0.000000
167175791,0.00361633,0.00030518,-1.00694275,0.366211,0.061035,-0.122070
172187000,0.00410461,-0.00103760,-1.00621033,0.366211,0.061035,-0.061035
177180750,0.00459290,-0.00125122,-1.00549316,0.305176,0.122070,-0.122070
182190875,0.00502014,-0.00036621,-1.00538635,0.244141,0.061035,0.000000
187189541,0.00517273,0.00086975,-1.00605774,0.366211,-0.061035,-0.122070
192180750,0.00511169,0.00189209,-1.00656128,0.305176,0.061035,-0.122070
197239041,0.00514221,0.00262451,-1.00616455,0.427246,0.183105,-0.122070
202207291,0.00489807,0.00346375,-1.00624084,0.427246,0.122070,-0.122070
207195125,0.00395203,0.00480652,-1.00703430,0.305176,0.061035,-0.244141
212221791,0.00251770,0.00642395,-1.00688171,0.366211,-0.122070,-0.183105
217210291,0.00111389,0.00729370,-1.00567627,0.305176,0.061035,-0.122070
222253416,0.00006104,0.00698853,-1.00492859,0.244141,0.061035,0.000000
227218708,-0.00056458,0.00619507,-1.00546265,0.244141,0.061035,0.000000
232248375,-0.00105286,0.00567627,-1.00633240,0.244141,0.061035,0.000000
237214208,-0.00144958,0.00515747,-1.00613403,0.061035,0.061035,0.000000
242255625,-0.00151062,0.00404358,-1.00521851,0.244141,0.000000,-0.061035
247210833,-0.00099182,0.00311279,-1.00495911,0.305176,0.183105,0.061035
252227291,0.00013733,0.00299072,-1.00573730,0.305176,0.000000,-0.122070
257220666,0.00155640,0.00300598,-1.00642395,0.305176,0.122070,-0.061035
262219041,0.00251770,0.00244141,-1.00614929,0.305176,0.000000,0.000000
267265833,0.00300598,0.00151062,-1.00596619,0.244141,0.183105,-0.061035
272258375,0.00357056,0.00122070,-1.00654602,0.061035,0.122070,-0.061035
277214166,0.00421143,0.00163269,-1.00674438,0.183105,0.061035,-0.122070
282223583,0.00462341,0.00199890,-1.00613403,0.183105,0.000000,-0.183105
287235916,0.00483704,0.00216675,-1.00593567,0.244141,0.000000,-0.122070
292251833,0.00486755,0.00233459,-1.00682068,0.366211,0.061035,0.000000
297230833,0.00465393,0.00230408,-1.00727844,0.183105,-0.061035,-0.061035
302225333,0.00422668,0.00218201,-1.00621033,0.305176,-0.061035,0.000000
307228125,0.00379944,0.00244141,-1.00505066,0.366211,0.061035,-0.061035
312247833,0.00329590,0.00320435,-1.00546265,0.244141,-0.061035,-0.122070
317235375,0.00248718,0.00384521,-1.00657654,0.305176,0.000000,-0.122070
322240916,0.00166321,0.00407410,-1.00692749,0.244141,0.061035,0.000000
327234541,0.00119019,0.00421143,-1.00643921,0.427246,0.000000,0.061035
332237875,0.00068665,0.00442505,-1.00523376,0.305176,0.061035,-0.061035
337230791,0.00000000,0.00491333,-1.00418091,0.366211,0.183105,-0.061035
342215958,-0.00056458,0.00538635,-1.00459290,0.366211,0.122070,0.000000
347248416,-0.00090027,0.00489807,-1.00578308,0.183105,0.000000,0.000000
352269875,-0.00100708,0.00369263,-1.00688171,0.305176,0.061035,-0.061035
357251916,-0.00085449,0.00251770,-1.00740051,0.366211,0.061035,-0.183105
362236416,-0.00054932,0.00129700,-1.00642395,0.366211,0.061035,-0.061035
367239916,-0.00016785,0.00025940,-1.00494385,0.549316,0.061035,0.000000
372301458,0.00047302,0.00015259,-1.00479126,0.488281,0.122070,0.061035
377297583,0.00166321,0.00070190,-1.00593567,0.549316,0.122070,0.061035
382288625,0.00314331,0.00114441,-1.00654602,0.427246,0.061035,-0.061035
387261500,0.00431824,0.00172424,-1.00582886,0.488281,-0.061035,-0.061035
392243708,0.00479126,0.00315857,-1.00471497,0.305176,0.000000,-0.061035
397254500,0.00469971,0.00534058,-1.00498962,0.549316,0.061035,-0.122070
402281625,0.00474548,0.00724792,-1.00683594,0.610352,-0.061035,-0.061035
407279458,0.00491333,0.00823975,-1.00723267,0.366211,0.061035,-0.061035
412271958,0.00454712,0.00828552,-1.00607300,0.427246,0.061035,-0.183105
417270375,0.00370789,0.00747681,-1.00637817,0.244141,0.122070,-0.061035
422312041,0.00306702,0.00605774,-1.00743103,0.427246,0.183105,-0.061035
427356375,0.00245667,0.00454712,-1.00648499,0.244141,-0.061035,-0.122070
432268416,0.00129700,0.00341797,-1.00474548,0.366211,0.183105,0.000000
437260666,-0.00019836,0.00253296,-1.00462341,0.427246,0.183105,0.000000
442259208,-0.00115967,0.00180054,-1.00573730,0.488281,0.061035,0.122070
447290583,-0.00157166,0.00102234,-1.00663757,0.305176,0.061035,0.000000
452348791,-0.00181580,0.00000000,-1.00659180,0.305176,0.000000,0.061035
457294833,-0.00157166,-0.00076294,-1.00621033,0.427246,0.061035,-0.122070
462295875,-0.00068665,-0.00067139,-1.00617981,0.488281,0.000000,0.000000
467309166,0.00036621,-0.00009155,-1.00558472,0.366211,0.000000,-0.122070
472301666,0.00114441,0.00006104,-1.00471497,0.366211,0.061035,-0.061035
477267083,0.00160217,-0.00001526,-1.00578308,0.305176,0.122070,-0.122070
482281333,0.00216675,0.00007629,-1.00750732,0.244141,0.061035,0.000000
487306916,0.00292969,0.00082397,-1.00740051,0.549316,-0.061035,-0.061035
492292458,0.00347900,0.00218201,-1.00599670,0.488281,0.061035,-0.061035
497280791,0.00384521,0.00358582,-1.00468445,0.305176,-0.061035,-0.122070
502279000,0.00437927,0.00465393,-1.00474548,0.305176,0.000000,0.000000
507321791,0.00463867,0.00558472,-1.00639343,0.488281,0.000000,0.000000
512287875,0.00408936,0.00654602,-1.00730896,0.427246,0.061035,0.000000
517270291,0.00338745,0.00724792,-1.00593567,0.427246,0.122070,0.061035
522293583,0.00378418,0.00759888,-1.00456238,0.549316,0.122070,-0.183105
527311208,0.00460815,0.00791931,-1.00479126,0.488281,0.183105,0.061035
532381208,0.00415039,0.00788879,-1.00497437,0.549316,0.000000,-0.122070
537337166,0.00271606,0.00697327,-1.00448608,0.427246,0.061035,0.000000
542314416,0.00134277,0.00508118,-1.00466919,0.305176,0.061035,-0.061035
547321583,0.00033569,0.00248718,-1.00669861,0.427246,-0.061035,-0.122070
552324333,-0.00028992,0.00012207,-1.00961304,0.305176,0.000000,-0.122070
557315166,-0.00071716,-0.00125122,-1.01014709,0.366211,0.000000,0.000000
562313250,-0.00077820,-0.00213623,-1.00769043,0.305176,0.000000,-0.061035
567298500,-0.00048828,-0.00296021,-1.00582886,0.244141,0.061035,0.061035
572316875,-0.00044250,-0.00341797,-1.00636292,0.427246,0.000000,-0.061035
577297916,-0.00015259,-0.00268555,-1.00700378,0.305176,0.122070,-0.122070
582287833,0.00125122,-0.00085449,-1.00575256,0.427246,0.061035,-0.061035
587354500,0.00320435,0.00126648,-1.00382996,0.488281,0.061035,-0.061035
592314375,0.00433350,0.00349426,-1.00350952,0.122070,0.122070,-0.183105
597308583,0.00439453,0.00543213,-1.00477600,0.427246,0.122070,-0.122070
602300166,0.00436401,0.00659180,-1.00553894,0.366211,0.061035,0.000000
607333291,0.00463867,0.00712585,-1.00523376,0.183105,0.000000,0.000000
612299458,0.00468445,0.00732422,-1.00547791,0.244141,0.061035,-0.244141
617300541,0.00415039,0.00700378,-1.00656128,0.305176,0.061035,-0.061035
622303083,0.00364685,0.00659180,-1.00677490,0.366211,0.061035,-0.122070
627298875,0.00363159,0.00622559,-1.00602722,0.061035,0.061035,-0.122070
632308083,0.00347900,0.00524902,-1.00579834,0.305176,0.122070,0.061035
637356541,0.00239563,0.00361633,-1.00651550,0.183105,0.061035,0.061035
642308250,0.00079346,0.00218201,-1.00701904,0.305176,0.122070,-0.061035
647305166,-0.00003052,0.00138855,-1.00637817,0.305176,0.122070,0.000000
652343750,0.00010681,0.00093079,-1.00535583,0.366211,0.000000,-0.183105
657261958,0.00039673,0.00032043,-1.00555420,0.366211,0.000000,-0.122070
662310708,0.00018311,-0.00030518,-1.00711060,0.366211,0.000000,-0.122070
667316208,-0.00010681,-0.00067139,-1.00801086,0.183105,0.061035,-0.061035
672338333,0.00004578,-0.00086975,-1.00704956,0.366211,0.061035,-0.183105
677308625,0.00044250,-0.00096130,-1.00532532,0.305176,0.061035,-0.122070
682303208,0.00076294,-0.00077820,-1.00466919,0.183105,0.061035,-0.061035
687328083,0.00112915,-0.00013733,-1.00492859,0.183105,0.061035,-0.122070
692320750,0.00167847,0.00083923,-1.00473022,0.122070,0.000000,-0.183105
697321000,0.00227356,0.00205994,-1.00463867,0.305176,0.122070,-0.061035
702442750,0.00263977,0.00340271,-1.00601196,0.183105,-0.061035,-0.122070
707361125,0.00317383,0.00494385,-1.00790405,0.366211,0.061035,-0.061035
712326958,0.00404358,0.00634766,-1.00784302,0.183105,0.000000,-0.183105
717331125,0.00477600,0.00721741,-1.00611877,0.244141,0.061035,-0.061035
722359208,0.00509644,0.00764465,-1.00538635,0.183105,0.061035,-0.061035
727330916,0.00517273,0.00779724,-1.00639343,0.305176,0.061035,-0.122070
732340791,0.00471497,0.00727844,-1.00675964,0.061035,0.000000,-0.183105
737336458,0.00349426,0.00582886,-1.00555420,0.183105,0.000000,-0.061035
742323791,0.00224304,0.00381470,-1.00486755,0.122070,0.000000,-0.122070
747334708,0.00172424,0.00178528,-1.00564575,0.305176,0.000000,-0.122070
752340291,0.00146484,0.00016785,-1.00665283,0.244141,0.122070,-0.061035
757354875,0.00061035,-0.00071716,-1.00671387,0.427246,0.061035,-0.061035
762337708,-0.00080872,-0.00070190,-1.00578308,0.427246,-0.061035,0.000000
767353583,-0.00193787,-0.00044250,-1.00505066,0.488281,0.061035,-0.061035
772342625,-0.00187683,-0.00036621,-1.00540161,0.427246,0.000000,0.000000
777345666,-0.00070190,0.00012207,-1.00584412,0.244141,0.183105,-0.122070
782349750,0.00064087,0.00131226,-1.00587463,0.366211,0.122070,-0.061035
787392750,0.00144958,0.00259399,-1.00654602,0.305176,0.061035,0.000000
792367125,0.00181580,0.00340271,-1.00762939,0.549316,0.061035,-0.183105
797337500,0.00238037,0.00375366,-1.00753784,0.366211,0.000000,-0.183105
802371041,0.00302124,0.00402832,-1.00619507,0.366211,0.000000,-0.061035
807332625,0.00300598,0.00430298,-1.00505066,0.183105,0.000000,-0.122070
812344708,0.00273132,0.00444031,-1.00505066,0.305176,0.000000,0.000000
817360750,0.00305176,0.00450134,-1.00570679,0.305176,0.122070,-0.061035
822440916,0.00386047,0.00444031,-1.00573730,0.122070,0.122070,0.122070
827356083,0.00439453,0.00396729,-1.00549316,0.305176,0.122070,0.000000
832351291,0.00425720,0.00326538,-1.00637817,0.427246,0.122070,-0.061035
837368958,0.00367737,0.00299072,-1.00743103,0.122070,-0.122070,-0.183105
842346125,0.00311279,0.00320435,-1.00714111,0.244141,0.061035,0.000000
847348125,0.00248718,0.00344849,-1.00630188,0.305176,0.000000,-0.122070
852394916,0.00169373,0.00354004,-1.00608826,0.244141,0.061035,0.000000
857465500,0.00106812,0.00331116,-1.00624084,0.305176,0.061035,-0.061035
862383500,0.00085449,0.00259399,-1.00607300,0.183105,0.183105,0.122070
867365250,0.00056458,0.00196838,-1.00593567,0.244141,0.000000,-0.183105
872359583,0.00012207,0.00175476,-1.00540161,0.427246,-0.061035,-0.122070
877347166,-0.00015259,0.00172424,-1.00567627,0.183105,0.061035,-0.122070
882346041,-0.00027466,0.00172424,-1.00714111,0.244141,0.183105,-0.122070
887474000,0.00019836,0.00161743,-1.00648499,0.427246,0.000000,-0.061035
892374500,0.00108337,0.00177002,-1.00550842,0.305176,0.000000,-0.061035
897360916,0.00158691,0.00260925,-1.00608826,0.183105,0.122070,-0.122070
902370041,0.00193787,0.00378418,-1.00651550,0.305176,0.122070,-0.122070
907355916,0.00225830,0.00468445,-1.00672913,0.244141,0.000000,-0.061035
912395125,0.00222778,0.00512695,-1.00613403,0.305176,0.122070,-0.183105
917383750,0.00210571,0.00556946,-1.00479126,0.366211,0.000000,-0.122070
922383500,0.00263977,0.00613403,-1.00480652,0.244141,0.000000,-0.122070
927366625,0.00386047,0.00642395,-1.00578308,0.244141,0.061035,-0.122070
932377708,0.00462341,0.00593567,-1.00566101,0.305176,0.061035,-0.122070
937366666,0.00407410,0.00460815,-1.00498962,0.427246,0.061035,0.061035
942396333,0.00294495,0.00312805,-1.00498962,0.244141,0.061035,0.000000
947378333,0.00238037,0.00195312,-1.00541687,0.244141,0.061035,0.000000
952447041,0.00225830,0.00086975,-1.00599670,0.244141,0.061035,-0.183105
957420500,0.00221252,-0.00047302,-1.00660706,0.305176,0.061035,-0.061035
962374833,0.00218201,-0.00157166,-1.00627136,0.366211,0.061035,0.061035
967392541,0.00190735,-0.00154114,-1.00512695,0.427246,0.061035,0.000000
972408166,0.00152588,-0.00051880,-1.00465393,0.305176,0.122070,-0.122070
977406000,0.00138855,0.00070190,-1.00512695,0.427246,0.061035,-0.122070
982342083,0.00141907,0.00184631,-1.00572205,0.305176,0.061035,-0.061035
987415666,0.00146484,0.00308228,-1.00642395,0.305176,-0.061035,-0.061035
992408541,0.00151062,0.00440979,-1.00671387,0.427246,0.061035,-0.183105
997442000,0.00157166,0.00564575,-1.00625610,0.366211,0.061035,-0.122070
1002419583,0.00137329,0.00627136,-1.00631714,0.366211,0.061035,0.122070
1007406625,0.00088501,0.00610352,-1.00674438,0.183105,0.061035,0.000000
1012380208,0.00061035,0.00556946,-1.00650024,0.244141,0.122070,0.061035
1017393416,0.00102234,0.00498962,-1.00599670,0.488281,0.122070,0.000000
1022433250,0.00175476,0.00433350,-1.00546265,0.183105,0.061035,-0.122070
1027373791,0.00238037,0.00387573,-1.00500488,0.183105,-0.061035,-0.183105
1032404291,0.00317383,0.00373840,-1.00520325,0.366211,0.122070,0.000000
1037372583,0.00390625,0.00349426,-1.00543213,0.244141,0.122070,-0.061035
1042386500,0.00413513,0.00296021,-1.00514221,0.366211,-0.122070,-0.122070
1047396583,0.00422668,0.00228882,-1.00534058,0.305176,0.061035,-0.122070
1052407375,0.00469971,0.00158691,-1.00585938,0.366211,0.000000,0.000000
1057419541,0.00515747,0.00086975,-1.00581360,0.488281,0.183105,-0.061035
1062432875,0.00495911,0.00009155,-1.00570679,0.549316,0.183105,-0.061035
1067408250,0.00418091,-0.00042725,-1.00617981,0.366211,0.000000,0.000000
1072416125,0.00306702,-0.00036621,-1.00665283,0.427246,0.061035,-0.061035
1077388958,0.00180054,0.00042725,-1.00625610,0.305176,0.122070,-0.061035
1082378333,0.00086975,0.00148010,-1.00537109,0.427246,0.183105,0.000000
1087444333,0.00027466,0.00227356,-1.00514221,0.427246,0.061035,-0.061035
1092399625,-0.00021362,0.00320435,-1.00564575,0.305176,0.000000,-0.061035
1097394166,-0.00028992,0.00459290,-1.00556946,0.427246,0.061035,0.000000
1102457583,0.00028992,0.00590515,-1.00451660,0.244141,0.000000,0.000000
1107409250,0.00097656,0.00633240,-1.00422668,0.305176,0.000000,-0.183105
1112432666,0.00146484,0.00617981,-1.00526428,0.183105,-0.061035,-0.122070
1117415875,0.00195312,0.00617981,-1.00610352,0.244141,0.061035,-0.183105
1122459583,0.00234985,0.00613403,-1.00633240,0.366211,0.122070,0.000000
1127424125,0.00227356,0.00561523,-1.00637817,0.183105,0.061035,-0.061035
1132427750,0.00183105,0.00451660,-1.00617981,0.244141,0.000000,-0.061035
1137416750,0.00155640,0.00314331,-1.00616455,0.366211,0.061035,-0.122070
1142445416,0.00172424,0.00192261,-1.00656128,0.366211,0.061035,-0.122070
1147413791,0.00213623,0.00112915,-1.00688171,0.366211,0.000000,-0.244141
1152519041,0.00253296,0.00056458,-1.00692749,0.366211,0.122070,-0.122070
1157437083,0.00292969,0.00009155,-1.00666809,0.427246,0.061035,-0.061035
1162423625,0.00299072,0.00010681,-1.00576782,0.183105,-0.061035,-0.183105
