prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,17348039833,30303054541,12955.01,8oug9jk7,8oug9jk7,YES,0,8,9,186.72,206.76,186.72,207.70
1,1,30303478000,42298708500,11995.23,fnwm5dlw,fnwm5dlw,YES,0,8,9,206.92,206.92,186.06,206.96
2,1,42299116291,63794194708,21495.08,f6rl5ill,f6rl5ill,YES,0,8,9,205.38,205.38,184.61,209.33
3,1,63794598500,75719483750,11924.89,nlz1f0xy,nlz1f0xy,YES,0,8,9,185.48,204.97,185.48,207.56
4,1,75719787166,90946814208,15227.03,vw78tp4n,vw78tp4n,YES,0,8,9,185.07,206.96,185.07,207.95
5,1,90947209250,102734132750,11786.92,syjae25k,syjae25k,YES,0,8,9,185.08,206.31,185.08,207.20
6,1,102734526750,115539521541,12804.99,omu5x4x8,omu5x4x8,YES,0,8,9,205.29,205.29,186.88,205.96
7,1,115539915666,127927044458,12387.13,qp6zd2ll,qp6zd2ll,YES,0,8,9,205.28,205.28,185.07,206.87
8,1,127927437833,139470468125,11543.03,c959j89d,c959j89d,YES,0,8,9,185.23,205.96,185.23,206.96
9,1,139471919375,152634060291,13162.14,2zvl4656,2zvl4656,YES,0,8,9,186.06,206.18,186.06,206.23
