prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,31084353666,43715886625,12631.53,o7rqqfph,o7rqqfph,YES,0,8,9,206.95,206.95,186.06,207.42
1,1,43716349083,56577508000,12861.16,uks98ehg,uks98ehg,YES,0,8,9,207.95,204.97,184.23,207.95
2,1,56579161458,73882397625,17303.24,j1pzt2j9,j1pzt2j9,YES,0,8,9,206.29,206.29,185.43,208.06
3,1,73882801250,88962800750,15080.00,0j8drtb0,0j8drtb0,YES,0,8,9,206.96,206.95,185.48,206.96
4,1,88963153750,102620065500,13656.91,k9qr81s2,k9qr81s2,YES,0,8,9,204.97,206.21,204.97,207.46
5,1,102620485333,115703281041,13082.80,89njivtq,89njivtq,YES,0,8,9,209.20,206.00,186.06,209.20
6,1,115703678750,128314272416,12610.59,q0hlgrhw,q0hlgrhw,YES,0,8,9,208.69,208.01,187.20,208.69
7,1,128314683041,141621208208,13306.53,q22k7sft,q22k7sft,YES,0,8,9,206.00,206.00,204.96,208.34
8,1,141621595833,154230651791,12609.06,lspf1hou,lspf1hou,YES,0,8,9,205.11,205.11,184.07,208.75
9,1,154231053125,166417555250,12186.50,rj2jef4f,rj2jef4f,YES,0,8,9,206.98,206.98,184.78,207.21
