prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,11935643041,23427218000,11491.57,9ttyedgm,9ttyedgm,YES,0,8,9,207.29,206.50,187.47,207.29
1,1,23427735375,35793058791,12365.32,7uc0gvdb,7uc0gvdb,YES,0,8,9,205.19,205.19,204.96,205.96
2,1,35793422333,50459631041,14666.21,b5s95ei6,b5s95ei6,YES,0,8,9,206.96,206.96,186.06,206.96
3,1,50460036458,62049044875,11589.01,4ihrimcx,4ihrimcx,YES,0,8,9,207.96,205.96,185.43,207.96
4,1,62050524250,74909824958,12859.30,5r9zwj8v,5r9zwj8v,YES,0,8,9,186.49,186.49,185.68,207.72
5,1,74910241791,88735937000,13825.70,gfohbl5m,gfohbl5m,YES,0,8,9,206.96,206.77,185.72,206.96
6,1,88736343833,100731106750,11994.76,5c0cn4lw,5c0cn4lw,YES,0,8,9,182.08,206.52,182.08,209.27
7,1,100731530666,113072659291,12341.13,p58gcy2a,p58gcy2a,YES,0,8,9,184.42,206.59,184.42,208.72
8,1,113073067750,125164382541,12091.31,w6f5hnen,w6f5hnen,YES,0,8,9,205.96,205.09,187.28,205.96
9,1,125164769750,137023677416,11858.91,p9wiwa3l,p9wiwa3l,YES,0,8,9,207.25,205.27,186.06,207.25
