prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,15917994458,26352690583,10434.70,psgaiow3,psgaiow3,YES,0,8,9,204.96,204.96,185.07,205.96
1,1,26353200750,36733641541,10380.44,bzglwvn6,bzglwvn6,YES,0,8,9,206.96,206.37,205.96,206.96
2,1,36734578500,48851616000,12117.04,l4cl7dai,l4cl7dai,YES,0,8,9,206.96,206.96,205.96,206.96
3,1,48851952541,60888559958,12036.61,a7tgharz,a7tgharz,YES,0,8,9,186.81,186.81,186.60,208.52
4,1,60889519833,74136037208,13246.52,049rzc69,049rzc69,YES,0,8,9,206.60,206.60,187.99,208.97
5,1,74136416708,93220500541,19084.08,y9roc92i,y9roc92i,YES,0,8,9,207.55,204.96,185.26,207.55
6,1,93220905791,104562999166,11342.09,ndafec0x,ndafec0x,YES,0,8,9,206.53,205.98,185.77,206.53
7,1,104563416500,116084878250,11521.46,f7o73963,f7o73963,YES,0,8,9,184.09,204.97,184.09,205.15
8,1,116085826250,128404871458,12319.05,9v6ys8wa,9v6ys8wa,YES,0,8,9,207.95,206.96,186.06,207.95
9,1,128405195916,140282311416,11877.12,b4bcr8wn,b4cr8wn,NO,0,7,8,206.52,206.52,187.05,207.79
9,2,140282754000,154320535750,14037.78,b4bcr8wn,b4bcr8wn,YES,0,8,9,186.76,204.66,186.76,205.96
