prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,26640711916,38792054958,12151.34,zf7u3aoh,zf7u3aoh,YES,0,8,9,204.96,204.96,185.94,207.95
1,1,38792606083,50264422208,11471.82,haftt29y,haftt29y,YES,0,8,9,207.19,206.96,187.06,207.19
2,1,50265899291,66375168041,16109.27,7q5rp6uy,7q5rp6uy,YES,0,8,9,206.12,206.00,187.06,206.12
3,1,66376580083,77309465791,10932.89,96cudhi2,96cudhi2,YES,0,8,9,208.94,204.97,187.65,208.94
4,1,77309917125,89115835958,11805.92,2zb498d0,2zb498d0,YES,0,8,9,206.07,206.07,188.05,207.16
5,1,89116214166,102703882000,13587.67,9n5sf4lz,9n5sf4lz,YES,0,8,9,185.07,204.97,185.07,206.96
6,1,102705691708,115235511791,12529.82,729lwjor,729lwjor,YES,0,8,9,207.58,207.26,187.52,207.58
7,1,115235853916,128991505000,13755.65,bcmc070o,bcmc070o,YES,0,8,9,186.62,207.03,186.62,207.13
8,1,128992876625,142407795625,13414.92,0y5jcax5,0y5jcax5,YES,0,8,9,207.13,207.13,186.33,207.39
9,1,142408257208,153700006083,11291.75,9w4jueh3,9w4jueh3,YES,0,8,9,207.95,204.97,186.51,207.95
