prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,14863514500,25920514583,11057.00,474auq9g,474auq9g,YES,0,8,9,207.29,206.20,186.06,207.29
1,1,25921056333,36789185958,10868.13,kqjajtu3,kqjajtu3,YES,0,8,9,205.97,205.97,185.19,206.96
2,1,36789564875,48588595500,11799.03,b7kq9au1,b7kq9au1,YES,0,8,9,207.95,206.96,186.30,207.95
3,1,48589029375,60349715958,11760.69,96qistv0,96qistv0,YES,0,8,9,185.07,205.01,185.07,206.96
4,1,60351137583,74346516791,13995.38,zq46ktvz,zq46ktvz,YES,0,8,9,207.95,207.95,187.70,207.95
5,1,74347271750,86708021791,12360.75,ohwh5zon,ohwh5zon,YES,0,8,9,206.36,205.44,184.44,206.36
6,1,86708436125,99856925541,13148.49,66jziz5e,66jziz5e,YES,0,8,9,205.22,205.22,184.41,206.96
7,1,99857319666,113865729041,14008.41,8l7398ro,817398ro,NO,0,8,9,207.69,207.69,185.07,208.78
7,2,113866137250,131246337375,17380.20,8l7398ro,8l7398ro,YES,0,8,9,188.05,204.79,188.05,206.44
8,1,131246750416,142321433375,11074.68,zumpc4wd,zumpc4wd,YES,0,8,9,206.96,205.96,185.19,206.96
9,1,142322430208,153421372500,11098.94,vxo0sdnu,vxo0sdnu,YES,0,8,9,185.33,205.95,185.33,206.93
