timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
63211291,0.00283813,0.00798035,-1.00962830,0.366211,0.122070,0.000000
68227458,0.00401306,0.00793457,-1.00733948,0.488281,0.122070,-0.183105
73218666,0.00460815,0.00712585,-1.00395203,0.549316,0.000000,0.000000
78244583,0.00430298,0.00643921,-1.00546265,0.366211,0.183105,-0.122070
83226041,0.00376892,0.00634766,-1.00831604,0.244141,0.061035,-0.122070
88450125,0.00363159,0.00665283,-1.00903320,0.427246,0.061035,-0.183105
93350125,0.00344849,0.00666809,-1.00823975,0.427246,0.183105,-0.183105
99017791,0.00302124,0.00622559,-1.00648499,0.366211,0.061035,-0.122070
103225041,0.00250244,0.00599670,-1.00460815,0.427246,0.000000,-0.183105
108879958,0.00205994,0.00660706,-1.00509644,0.488281,0.000000,-0.244141
122101541,0.00187683,0.00770569,-1.00765991,0.183105,0.061035,-0.061035
122106166,0.00166321,0.00817871,-1.00846863,0.427246,0.000000,-0.061035
128488958,0.00096130,0.00776672,-1.00691223,0.427246,0.061035,-0.305176
128499291,0.00022888,0.00755310,-1.00624084,0.244141,0.122070,0.000000
134008250,0.00018311,0.00808716,-1.00698853,0.305176,0.061035,0.000000
138460041,0.00056458,0.00871277,-1.00726318,0.427246,0.000000,-0.122070
144440708,0.00091553,0.00892639,-1.00738525,0.427246,0.061035,-0.122070
149184333,0.00103760,0.00901794,-1.00825500,0.427246,0.000000,0.000000
153239916,0.00105286,0.00918579,-1.00872803,0.305176,0.061035,0.000000
158263375,0.00122070,0.00929260,-1.00787354,0.305176,0.061035,-0.122070
164451541,0.00129700,0.00932312,-1.00645447,0.244141,0.061035,-0.183105
168326416,0.00117493,0.00952148,-1.00552368,0.244141,-0.061035,-0.183105
173217375,0.00138855,0.00968933,-1.00561523,0.427246,0.061035,0.000000
178290041,0.00204468,0.00933838,-1.00648499,0.244141,0.000000,-0.061035
183220583,0.00280762,0.00877380,-1.00753784,0.305176,0.061035,-0.061035
188232208,0.00320435,0.00830078,-1.00764465,0.366211,-0.061035,0.000000
193232583,0.00296021,0.00778198,-1.00630188,0.366211,0.122070,-0.061035
198351666,0.00263977,0.00721741,-1.00494385,0.427246,0.183105,0.061035
203239375,0.00296021,0.00668335,-1.00502014,0.366211,0.122070,-0.061035
208249375,0.00358582,0.00616455,-1.00621033,0.366211,0.122070,-0.122070
213245291,0.00361633,0.00593567,-1.00718689,0.244141,0.122070,-0.122070
218284000,0.00283813,0.00613403,-1.00714111,0.244141,0.122070,-0.122070
