timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
92690250,-0.00051880,0.00909424,-1.00427246,0.366211,-0.061035,0.000000
100573416,0.00131226,0.00811768,-1.00759888,0.366211,-0.061035,0.000000
104011375,0.00131226,0.00811768,-1.00759888,0.244141,0.122070,0.000000
109515833,0.00257874,0.00775146,-1.00653076,0.305176,0.061035,-0.061035
117964666,0.00222778,0.00740051,-1.00579834,0.305176,0.000000,-0.061035
129225083,0.00393677,0.00575256,-1.00422668,0.305176,0.000000,-0.183105
135244458,0.00335693,0.00552368,-1.00614929,0.305176,0.000000,-0.183105
137760750,0.00335693,0.00552368,-1.00614929,0.183105,0.000000,-0.183105
145295583,0.00234985,0.00592041,-1.00497437,0.183105,0.000000,-0.183105
147815666,0.00234985,0.00592041,-1.00497437,0.305176,0.183105,-0.122070
155345458,0.00112915,0.00645447,-1.00476074,0.305176,0.183105,-0.122070
157857833,0.00112915,0.00645447,-1.00476074,0.488281,0.122070,-0.183105
165399333,0.00109863,0.00671387,-1.00587463,0.488281,0.122070,-0.183105
167925750,0.00109863,0.00671387,-1.00587463,0.244141,0.122070,-0.122070
175303166,0.00032043,0.00756836,-1.00566101,0.244141,0.122070,-0.122070
177828708,0.00032043,0.00756836,-1.00566101,0.305176,0.061035,0.000000
185378958,0.00053406,0.00903320,-1.00706482,0.305176,0.061035,0.000000
187914125,0.00053406,0.00903320,-1.00706482,0.244141,-0.061035,-0.061035
195290125,0.00000000,0.00933838,-1.00605774,0.244141,-0.061035,-0.061035
197819083,0.00000000,0.00933838,-1.00605774,0.366211,0.122070,-0.122070
205393666,0.00007629,0.00946045,-1.00671387,0.366211,0.122070,-0.122070
207952625,0.00007629,0.00946045,-1.00671387,0.244141,0.122070,-0.061035
215126625,0.00141907,0.01051331,-1.00592041,0.244141,0.122070,-0.061035
217668833,0.00141907,0.01051331,-1.00592041,0.366211,0.061035,-0.122070
225230791,0.00076294,0.01005554,-1.00535583,0.366211,0.061035,-0.122070
227762291,0.00076294,0.01005554,-1.00535583,0.244141,0.000000,-0.122070
235306375,0.00109863,0.00822449,-1.00634766,0.244141,0.000000,-0.122070
237838333,0.00109863,0.00822449,-1.00634766,0.244141,0.122070,-0.061035
245267166,0.00245667,0.00839233,-1.00561523,0.244141,0.122070,-0.061035
247801791,0.00245667,0.00839233,-1.00561523,0.366211,0.061035,0.000000
255417458,0.00254822,0.00732422,-1.00679016,0.366211,0.061035,0.000000
257968708,0.00254822,0.00732422,-1.00679016,0.427246,0.061035,0.000000
265560791,0.00198364,0.00624084,-1.00540161,0.427246,0.061035,0.000000
268097375,0.00198364,0.00624084,-1.00540161,0.427246,0.122070,-0.122070
275654708,0.00320435,0.00553894,-1.00692749,0.427246,0.122070,-0.122070
278093791,0.00320435,0.00553894,-1.00692749,0.366211,0.122070,-0.122070
285672875,0.00297546,0.00616455,-1.00569153,0.366211,0.122070,-0.122070
288206625,0.00297546,0.00616455,-1.00569153,0.366211,0.061035,-0.122070
295577041,0.00140381,0.00686646,-1.00521851,0.366211,0.061035,-0.122070
298096625,0.00140381,0.00686646,-1.00521851,0.183105,0.000000,-0.061035
305656333,0.00119019,0.00726318,-1.00588989,0.183105,0.000000,-0.061035
308185750,0.00119019,0.00726318,-1.00588989,0.305176,0.000000,-0.122070
315744375,0.00151062,0.00773621,-1.00688171,0.305176,0.000000,-0.122070
318265208,0.00151062,0.00773621,-1.00688171,0.366211,0.061035,-0.122070
325437666,0.00164795,0.00848389,-1.00651550,0.366211,0.061035,-0.122070
327501083,0.00164795,0.00848389,-1.00651550,0.305176,0.061035,-0.061035
